"municipality,""yyyymm"",""Prob_ZINBASE"""
"Abreu e Lima,""202002"",0.0804"
"Abreu e Lima,""202003"",0.0327"
"Abreu e Lima,""202004"",0.0125"
"Abreu e Lima,""202005"",0"
"Abreu e Lima,""202006"",0"
"Abreu e Lima,""202007"",0"
"Abreu e Lima,""202008"",0.0001"
"Abreu e Lima,""202009"",0.0038"
"Abreu e Lima,""202010"",0.0068"
"Abreu e Lima,""202011"",0.1717"
"Abreu e Lima,""202012"",0.1196"
"Abreu e Lima,""202101"",0.0157"
"Abreu e Lima,""202102"",0.0367"
"Abreu e Lima,""202103"",0.0037"
"Abreu e Lima,""202104"",0.0025"
"Abreu e Lima,""202105"",0"
"Abreu e Lima,""202106"",0"
"Abreu e Lima,""202107"",0.0013"
"Abreu e Lima,""202108"",0.0001"
"Abreu e Lima,""202109"",0"
"Abreu e Lima,""202110"",0.0405"
"Abreu e Lima,""202111"",0.0909"
"Abreu e Lima,""202112"",0.033"
"Abreu e Lima,""202201"",0.0105"
"Abreu e Lima,""202202"",0.0008"
"Abreu e Lima,""202203"",0.004"
"Abreu e Lima,""202204"",0.0001"
"Abreu e Lima,""202205"",0.0005"
"Abreu e Lima,""202206"",0"
"Abreu e Lima,""202207"",0"
"Abreu e Lima,""202208"",0"
"Abreu e Lima,""202209"",0.0002"
"Abreu e Lima,""202210"",0.0125"
"Abreu e Lima,""202211"",0.0161"
"Abreu e Lima,""202212"",0.0038"
"Abreu e Lima,""202301"",0.008"
"Abreu e Lima,""202302"",0.0147"
"Abreu e Lima,""202303"",0.0003"
"Abreu e Lima,""202304"",0.0039"
"Abreu e Lima,""202305"",0"
"Abreu e Lima,""202306"",0.0001"
"Afogados da Ingazeira,""202002"",0.0325"
"Afogados da Ingazeira,""202003"",0.0013"
"Afogados da Ingazeira,""202004"",0"
"Afogados da Ingazeira,""202005"",0.003"
"Afogados da Ingazeira,""202006"",0.0038"
"Afogados da Ingazeira,""202007"",0.006"
"Afogados da Ingazeira,""202008"",0.0168"
"Afogados da Ingazeira,""202009"",0.0719"
"Afogados da Ingazeira,""202010"",0.0882"
"Afogados da Ingazeira,""202011"",0.0507"
"Afogados da Ingazeira,""202012"",0.0006"
"Afogados da Ingazeira,""202101"",0.1574"
"Afogados da Ingazeira,""202102"",0.1718"
"Afogados da Ingazeira,""202103"",0.0118"
"Afogados da Ingazeira,""202104"",0.0285"
"Afogados da Ingazeira,""202105"",0.0025"
"Afogados da Ingazeira,""202106"",0.0045"
"Afogados da Ingazeira,""202107"",0.0718"
"Afogados da Ingazeira,""202108"",0.0447"
"Afogados da Ingazeira,""202109"",0.2515"
"Afogados da Ingazeira,""202110"",0.2161"
"Afogados da Ingazeira,""202111"",0.2826"
"Afogados da Ingazeira,""202112"",0.1252"
"Afogados da Ingazeira,""202201"",0.0355"
"Afogados da Ingazeira,""202202"",0.0133"
"Afogados da Ingazeira,""202203"",0.0139"
"Afogados da Ingazeira,""202204"",0.0005"
"Afogados da Ingazeira,""202205"",0.0154"
"Afogados da Ingazeira,""202206"",0.0133"
"Afogados da Ingazeira,""202207"",0.0211"
"Afogados da Ingazeira,""202208"",0.0473"
"Afogados da Ingazeira,""202209"",0.1237"
"Afogados da Ingazeira,""202210"",0.109"
"Afogados da Ingazeira,""202211"",0.1046"
"Afogados da Ingazeira,""202212"",0.0049"
"Afogados da Ingazeira,""202301"",0.0467"
"Afogados da Ingazeira,""202302"",0.1108"
"Afogados da Ingazeira,""202303"",0.0066"
"Afogados da Ingazeira,""202304"",0.0014"
"Afogados da Ingazeira,""202305"",0.0003"
"Afogados da Ingazeira,""202306"",0.0039"
"Afrânio,""202102"",0.5567"
"Afrânio,""202103"",0.2223"
"Afrânio,""202104"",0.3318"
"Afrânio,""202105"",0.0582"
"Afrânio,""202106"",0.1614"
"Afrânio,""202107"",0.6218"
"Afrânio,""202108"",0.5119"
"Afrânio,""202109"",0.8673"
"Afrânio,""202110"",0.8407"
"Afrânio,""202111"",0.6059"
"Afrânio,""202112"",0.2719"
"Agrestina,""202002"",0.0341"
"Agrestina,""202003"",0.0141"
"Agrestina,""202004"",0.0005"
"Agrestina,""202005"",0.0005"
"Agrestina,""202006"",0.0005"
"Agrestina,""202007"",0.0002"
"Agrestina,""202008"",0.001"
"Agrestina,""202009"",0.0057"
"Agrestina,""202010"",0.0193"
"Agrestina,""202011"",0.1133"
"Agrestina,""202012"",0.0435"
"Agrestina,""202101"",0.0314"
"Agrestina,""202102"",0.0921"
"Agrestina,""202103"",0.0635"
"Agrestina,""202104"",0.0157"
"Agrestina,""202105"",0.0014"
"Agrestina,""202106"",0.0001"
"Agrestina,""202107"",0.0063"
"Agrestina,""202108"",0.0018"
"Agrestina,""202109"",0.0116"
"Agrestina,""202110"",0.0968"
"Agrestina,""202111"",0.0734"
"Agrestina,""202112"",0.1503"
"Agrestina,""202201"",0.0123"
"Agrestina,""202202"",0.0413"
"Agrestina,""202203"",0.0457"
"Agrestina,""202204"",0.0143"
"Agrestina,""202205"",0.0103"
"Agrestina,""202206"",0"
"Agrestina,""202207"",0.0005"
"Agrestina,""202208"",0.0001"
"Agrestina,""202209"",0.0022"
"Agrestina,""202210"",0.0261"
"Agrestina,""202211"",0.0428"
"Agrestina,""202212"",0.0016"
"Agrestina,""202301"",0.0097"
"Agrestina,""202302"",0.01"
"Agrestina,""202303"",0.0048"
"Agrestina,""202304"",0.0003"
"Agrestina,""202305"",0.0007"
"Agrestina,""202306"",0.0006"
"Águas Belas,""202102"",0.8529"
"Águas Belas,""202103"",0.7229"
"Águas Belas,""202104"",0.5974"
"Águas Belas,""202105"",0.0205"
"Águas Belas,""202106"",0.0013"
"Águas Belas,""202107"",0.0169"
"Águas Belas,""202108"",0.0293"
"Águas Belas,""202109"",0.1179"
"Águas Belas,""202110"",0.6843"
"Águas Belas,""202111"",0.7945"
"Águas Belas,""202112"",0.7739"
"Águas Belas,""202201"",0.0849"
"Águas Belas,""202202"",0.4931"
"Águas Belas,""202203"",0.5588"
"Águas Belas,""202204"",0.274"
"Águas Belas,""202205"",0.0302"
"Águas Belas,""202206"",0.0122"
"Águas Belas,""202207"",0.0004"
"Águas Belas,""202208"",0.0005"
"Águas Belas,""202209"",0.0375"
"Águas Belas,""202210"",0.337"
"Águas Belas,""202211"",0.3669"
"Águas Belas,""202212"",0.0022"
"Águas Belas,""202301"",0.3724"
"Águas Belas,""202302"",0.5116"
"Águas Belas,""202303"",0.2249"
"Águas Belas,""202304"",0.0432"
"Águas Belas,""202305"",0.0547"
"Águas Belas,""202306"",0.0194"
"Alagoinha,""202002"",0.3727"
"Alagoinha,""202003"",0.0708"
"Alagoinha,""202004"",0.0001"
"Alagoinha,""202005"",0.0103"
"Alagoinha,""202006"",0.0088"
"Alagoinha,""202007"",0.0111"
"Alagoinha,""202008"",0.068"
"Alagoinha,""202009"",0.1644"
"Alagoinha,""202010"",0.5286"
"Alagoinha,""202011"",0.6614"
"Alagoinha,""202012"",0.0836"
"Alagoinha,""202101"",0.3115"
"Alagoinha,""202102"",0.6206"
"Alagoinha,""202103"",0.312"
"Alagoinha,""202104"",0.1428"
"Alagoinha,""202105"",0.002"
"Alagoinha,""202106"",0.0029"
"Alagoinha,""202107"",0.084"
"Alagoinha,""202108"",0.0357"
"Alagoinha,""202109"",0.2448"
"Alagoinha,""202110"",0.6845"
"Alagoinha,""202111"",0.2913"
"Alagoinha,""202112"",0.6568"
"Alagoinha,""202201"",0.4091"
"Alagoinha,""202202"",0.0745"
"Alagoinha,""202203"",0.4858"
"Alagoinha,""202204"",0.1475"
"Alagoinha,""202205"",0.0445"
"Alagoinha,""202206"",0.0161"
"Alagoinha,""202207"",0.0015"
"Alagoinha,""202208"",0.0243"
"Alagoinha,""202209"",0.0495"
"Alagoinha,""202210"",0.2906"
"Alagoinha,""202211"",0.3643"
"Alagoinha,""202212"",0.0083"
"Alagoinha,""202301"",0.3561"
"Alagoinha,""202302"",0.4787"
"Alagoinha,""202303"",0.1454"
"Alagoinha,""202304"",0.0225"
"Alagoinha,""202305"",0.013"
"Alagoinha,""202306"",0.0064"
"Altinho,""202202"",0.097"
"Altinho,""202203"",0.0528"
"Altinho,""202204"",0.005"
"Altinho,""202205"",0.0165"
"Altinho,""202206"",0.0003"
